s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:06:32
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:06:37
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:06:42
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:06:47
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:06:52
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:09:32
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:09:37
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:09:42
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:09:47
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:09:52
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:09:57
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:10:02
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:10:07
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:10:12
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:10:17
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:10:22
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,79.0,04/03/22,17:10:27
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,78.0,04/03/22,17:10:32
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:10:37
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:10:42
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.4,79.0,04/03/22,17:10:47
s3s9TFhT9WbDsA0CxlWeAKuZykjcmO6PoxK6,20.3,78.0,04/03/22,17:10:52
